wk,lv,ci,ph,sy,cp
2014-10-05,30,26,3,23,16
2014-10-12,31,24,2,23,16
2014-10-19,30,24,2,25,14
2014-10-26,30,26,3,24,16
2014-11-02,30,26,2,24,14
2014-11-09,30,27,2,22,16
2014-11-16,31,26,3,24,16
2014-11-23,31,25,3,23,15
2014-11-30,32,25,3,24,15
2014-12-07,30,25,3,25,15
2014-12-14,31,24,2,23,14
2014-12-21,26,21,2,18,12
2014-12-28,25,19,2,15,10
2015-01-04,31,25,3,21,14
2015-01-11,33,23,3,23,14
2015-01-18,33,24,3,24,15
2015-01-25,35,23,3,24,14
2015-02-01,38,25,2,26,16
2015-02-08,39,26,3,24,15
2015-02-15,37,24,2,25,15
2015-02-22,37,26,3,25,15
2015-03-01,39,25,3,24,15
2015-03-08,37,27,2,25,14
2015-03-15,38,28,2,25,16
2015-03-22,38,29,3,27,16
2015-03-29,39,24,2,25,14
2015-04-05,40,27,3,24,15
2015-04-12,39,27,3,25,14
2015-04-19,40,26,3,26,14
2015-04-26,39,25,3,22,14
2015-05-03,39,26,3,23,13
2015-05-10,38,26,3,25,14
2015-05-17,41,27,3,25,14
2015-05-24,40,26,2,24,14
2015-05-31,42,27,2,25,14
2015-06-07,43,25,3,25,14
2015-06-14,42,26,3,24,14
2015-06-21,42,26,2,22,14
2015-06-28,43,27,3,24,14
2015-07-05,42,27,3,24,14
2015-07-12,42,24,3,22,13
2015-07-19,43,25,2,23,13
2015-07-26,41,26,3,24,13
2015-08-02,42,25,2,21,12
2015-08-09,41,25,3,20,13
2015-08-16,41,25,3,21,14
2015-08-23,43,24,3,22,13
2015-08-30,44,25,3,23,13
2015-09-06,43,26,3,23,12
2015-09-13,44,26,3,22,12
2015-09-20,42,23,3,23,11
2015-09-27,41,24,3,22,12
2015-10-04,44,24,3,22,14
2015-10-11,45,24,2,22,12
2015-10-18,45,25,3,23,12
2015-10-25,43,24,2,23,12
2015-11-01,46,24,2,23,12
2015-11-08,44,22,2,22,10
2015-11-15,44,26,2,22,12
2015-11-22,45,25,2,23,11
2015-11-29,45,25,2,24,11
2015-12-06,46,25,3,24,12
2015-12-13,45,25,2,23,11
2015-12-20,41,22,2,18,10
2015-12-27,37,19,2,15,8
2016-01-03,49,24,2,23,12
2016-01-10,50,24,3,25,12
2016-01-17,55,26,3,27,14
2016-01-24,54,25,2,27,14
2016-01-31,56,25,3,27,14
2016-02-07,56,24,2,26,12
2016-02-14,59,26,3,28,13
2016-02-21,59,27,2,27,13
2016-02-28,61,28,2,27,13
2016-03-06,60,26,3,28,14
2016-03-13,59,26,3,27,14
2016-03-20,57,24,3,26,11
2016-03-27,57,24,3,24,12
2016-04-03,59,26,2,27,13
2016-04-10,62,26,3,28,13
2016-04-17,61,26,3,27,13
2016-04-24,58,26,3,28,12
2016-05-01,58,24,2,25,11
2016-05-08,60,26,2,27,13
2016-05-15,64,25,2,25,13
2016-05-22,65,27,2,25,12
2016-05-29,64,27,2,26,12
2016-06-05,66,26,2,26,13
2016-06-12,65,25,2,26,13
