wk,ms,soa
2004-01-01,3,46
2004-02-01,2,44
2004-03-01,2,41
2004-04-01,3,50
2004-05-01,1,50
2004-06-01,2,51
2004-07-01,2,55
2004-08-01,3,59
2004-09-01,3,55
2004-10-01,2,59
2004-11-01,2,61
2004-12-01,2,56
2005-01-01,2,59
2005-02-01,2,58
2005-03-01,2,66
2005-04-01,2,71
2005-05-01,2,69
2005-06-01,2,78
2005-07-01,2,71
2005-08-01,2,77
2005-09-01,2,76
2005-10-01,2,82
2005-11-01,1,80
2005-12-01,1,71
2006-01-01,1,80
2006-02-01,1,87
2006-03-01,2,87
2006-04-01,1,90
2006-05-01,1,92
2006-06-01,1,92
2006-07-01,2,89
2006-08-01,2,92
2006-09-01,1,89
2006-10-01,1,91
2006-11-01,1,95
2006-12-01,2,79
2007-01-01,2,89
2007-02-01,1,87
2007-03-01,2,97
2007-04-01,2,90
2007-05-01,1,100
2007-06-01,1,98
2007-07-01,1,95
2007-08-01,1,89
2007-09-01,2,87
2007-10-01,1,96
2007-11-01,1,93
2007-12-01,1,80
2008-01-01,2,85
2008-02-01,1,89
2008-03-01,1,85
2008-04-01,1,89
2008-05-01,1,82
2008-06-01,2,83
2008-07-01,1,79
2008-08-01,1,73
2008-09-01,1,77
2008-10-01,1,76
2008-11-01,1,74
2008-12-01,1,64
2009-01-01,1,69
2009-02-01,1,68
2009-03-01,1,72
2009-04-01,1,68
2009-05-01,1,67
2009-06-01,1,65
2009-07-01,1,62
2009-08-01,1,58
2009-09-01,1,62
2009-10-01,1,64
2009-11-01,1,63
2009-12-01,1,56
2010-01-01,1,56
2010-02-01,1,58
2010-03-01,1,61
2010-04-01,1,60
2010-05-01,1,57
2010-06-01,1,58
2010-07-01,1,52
2010-08-01,1,53
2010-09-01,1,59
2010-10-01,1,56
2010-11-01,1,55
2010-12-01,1,53
2011-01-01,1,49
2011-02-01,1,51
2011-03-01,1,52
2011-04-01,1,50
2011-05-01,1,50
2011-06-01,1,50
2011-07-01,1,47
2011-08-01,1,47
2011-09-01,1,63
2011-10-01,1,52
2011-11-01,1,58
2011-12-01,1,47
2012-01-01,1,48
2012-02-01,1,49
2012-03-01,1,46
2012-04-01,1,44
2012-05-01,1,43
2012-06-01,1,41
2012-07-01,1,42
2012-08-01,1,43
2012-09-01,1,77
2012-10-01,1,56
2012-11-01,1,49
2012-12-01,1,43
2013-01-01,1,41
2013-02-01,1,40
2013-03-01,1,41
2013-04-01,1,41
2013-05-01,1,39
2013-06-01,1,38
2013-07-01,1,39
2013-08-01,1,40
2013-09-01,1,60
2013-10-01,1,52
2013-11-01,1,48
2013-12-01,1,49
2014-01-01,1,42
2014-02-01,1,39
2014-03-01,1,39
2014-04-01,1,38
2014-05-01,1,38
2014-06-01,1,38
2014-07-01,1,41
2014-08-01,1,40
2014-09-01,2,60
2014-10-01,2,50
2014-11-01,2,54
2014-12-01,2,59
2015-01-01,3,43
2015-02-01,4,41
2015-03-01,5,39
2015-04-01,5,41
2015-05-01,5,40
2015-06-01,6,37
2015-07-01,6,37
2015-08-01,6,37
2015-09-01,7,36
2015-10-01,7,35
2015-11-01,7,34
2015-12-01,7,32
2016-01-01,7,33
2016-02-01,8,33
2016-03-01,10,34
2016-04-01,10,33
2016-05-01,9,33
2016-06-01,10,31
2016-07-01,10,30
2016-08-01,10,30
2016-09-01,12,30
2016-10-01,12,31
2016-11-01,13,31
2016-12-01,12,29
2017-01-01,14,31
2017-02-01,17,32
2017-03-01,18,33
2017-04-01,16,31
2017-05-01,17,32
2017-06-01,19,30
2017-07-01,18,29
2017-08-01,18,29
2017-09-01,19,28
2017-10-01,19,28
2017-11-01,20,28
2017-12-01,18,26
2018-01-01,20,28
2018-02-01,22,28
2018-03-01,22,28
2018-04-01,23,27
2018-05-01,24,28
2018-06-01,23,27
2018-07-01,24,27
2018-08-01,24,27
2018-09-01,23,27
2018-10-01,24,27
2018-11-01,24,26
2018-12-01,22,24
2019-01-01,25,26
2019-02-01,27,26
2019-03-01,27,24
2019-04-01,27,25
2019-05-01,27,24
2019-06-01,27,24
2019-07-01,29,23
2019-08-01,27,24
2019-09-01,28,25
2019-10-01,28,25
2019-11-01,28,25
2019-12-01,25,23
2020-01-01,24,23
